sequencia,codigo,tendencia,incerteza,data_analise,resultado
1,ESQ-CQ-010,"1,19","0,02",18/02/2025,Aprovado
1,AAD-CQ-001,"-1,8","0,1",22/10/2025,Aprovado
2,AAD-CQ-001,"-1,1","0,5",22/10/2025,Aprovado
3,AAD-CQ-001,"7,7","4,2",22/10/2025,Aprovado
4,AAD-CQ-001,"10,3","4,5",22/10/2025,Aprovado
5,AAD-CQ-001,"0,6","0,2",22/10/2025,Aprovado
6,AAD-CQ-001,"0,01","0,001",22/10/2025,Aprovado
1,BAL-CQ-001,0,10,01/09/2025,Aprovado
1,BAL-CQ-002,0,5,26/08/2025,Aprovado
1,BAL-CQ-003,0,2,26/08/2025,Aprovado
1,CFD-CQ-002,"-0,009","0,037",19/05/2025,Aprovado
1,DUR-CQ-001,"1,2","0,5",12/05/2025,Aprovado
1,ESM-CQ-001,"-0,06","0,13",19/05/2025,Aprovado
1,ESM-CQ-002,"-0,07","0,13",19/05/2025,Aprovado
1,ESQ-CQ-002,"1,16","0,02",18/02/2025,Aprovado
1,ESQ-CQ-003,"0,44","0,02",18/02/2025,Aprovado
1,ESQ-CQ-004,"1,39","0,02",19/02/2025,Aprovado
1,ESQ-CQ-006,"1,25","0,02",18/02/2025,Aprovado
1,ESQ-CQ-011,"0,32","0,04",21/10/2025,Aprovado
1,ESQ-CQ-012,"1,42","0,03",03/09/2024,Aprovado
1,ESQ-CQ-015,"1,42","0,03",03/09/2025,Aprovado
1,ESQ-CQ-019,"0,28","0,04",29/07/2025,Aprovado
1,ESQ-CQ-020,"0,75","0,03",29/05/2025,Aprovado
1,ESQ-CQ-021,"0,9","0,03",29/05/2025,Aprovado
1,ESQ-CQ-024,"0,9","0,03",18/05/2024,Aprovado
1,ESQ-CQ-025,"0,55","0,03",03/12/2025,Aprovado
1,ESQ-CQ-026,"1,36","0,02",18/02/2025,Aprovado
1,ESQ-CQ-027,"1,39","0,02",18/02/2025,Aprovado
1,ESQ-CQ-029,"0,97","0,03",14/03/2025,Aprovado
1,ESQ-CQ-030,"1,09","0,03",14/03/2025,Aprovado
1,ESQ-CQ-031,"1,05","0,03",17/03/2025,Aprovado
1,ESQ-CQ-032,"0,78","0,04",08/04/2025,Aprovado
1,ESQ-CQ-033,"0,35","0,03",20/05/2025,Aprovado
1,ESQ-CQ-035,"0,91","0,04",21/07/2025,Aprovado
1,FLU-CQ-025,1,"0,8",26/11/2025,Aprovado
1,FLU-CQ-026,1,"0,8",01/12/2025,Aprovado
1,FLU-CQ-027,1,"0,8",26/11/2025,Aprovado
1,FLU-CQ-030,1,"0,8",25/11/2025,Aprovado
1,FLU-CQ-031,1,"0,8",01/12/2025,Aprovado
1,FLU-CQ-033,1,"0,8",27/11/2025,Aprovado
1,FLU-CQ-034,1,"0,8",27/11/2025,Aprovado
1,FLU-CQ-036,1,"0,8",26/11/2025,Aprovado
1,FLU-CQ-039,1,"0,8",27/11/2025,Aprovado
1,FLU-CQ-040,1,"0,8",27/11/2025,Aprovado
1,FLU-CQ-041,1,"0,8",27/11/2025,Aprovado
1,FLU-CQ-042,1,"0,8",26/11/2025,Aprovado
1,FLU-CQ-044,1,"0,8",27/11/2025,Aprovado
1,FLU-CQ-045,1,"0,8",25/11/2025,Aprovado
1,FLU-CQ-046,1,"0,8",26/11/2025,Aprovado
1,FLU-CQ-048,1,"0,8",27/11/2025,Aprovado
1,FLU-CQ-050,1,"0,8",27/11/2025,Aprovado
1,FLU-CQ-055,1,"0,8",26/11/2025,Aprovado
1,GON-CQ-004,"-0,023","0,017",25/09/2025,Aprovado
2,GON-CQ-004,"-0,04","0,01",25/09/2025,Aprovado
3,GON-CQ-004,"-0,02","0,01",25/09/2025,Aprovado
1,GON-CQ-005,"-0,021","0,017",24/06/2025,Aprovado
2,GON-CQ-005,"0,02","0,04",24/06/2025,Aprovado
3,GON-CQ-005,"0,03","0,04",24/06/2025,Aprovado
1,GON-CQ-006,"-0,14","0,05",03/02/2025,Aprovado
1,LPG-CQ-002,"-0,013","0,1",22/07/2025,Aprovado
1,MAN-PI-009,"0,09","0,01",07/01/2026,Aprovado
1,MAN-PI-011,"0,24","0,05",14/02/2025,Aprovado
1,MAN-PI-012,"0,25","0,05",14/02/2025,Aprovado
1,MAN-PI-014,"0,05","0,18",14/02/2025,Aprovado
1,MAN-PI-015,"-0,25","0,05",14/02/2025,Aprovado
1,MAN-PI-016,"0,25","0,05",14/02/2025,Aprovado
