sequencia,codigo,tendencia,incerteza,data_analise,resultado
1,GBR-SO-001,0,0,07/11/2024,Aprovado
1,GBR-SO-002,0,0,27/01/2025,Aprovado
1,GBR-SO-003,0,0,22/02/2025,Aprovado
1,GBR-SO-004,0,0,22/02/2025,Aprovado
1,GBR-SO-005,0,0,04/02/2025,Aprovado
1,GBR-SO-006,0,0,21/02/2025,Aprovado
1,GBR-SO-007,0,0,27/03/2024,Aprovado
1,GBR-SO-009,0,0,09/10/2024,Aprovado
1,GBR-SO-010,0,0,08/11/2024,Aprovado
1,GBR-SO-011,0,0,19/11/2024,Aprovado
1,GBR-SO-012,0,0,23/12/2024,Aprovado
1,GBR-SO-013,0,0,30/01/2025,Aprovado
1,GBR-SO-014,0,0,27/1/2025,Aprovado
1,GBR-SO-015,0,0,3/2/2025,Aprovado
1,GBR-SO-016,0,0,28/1/2025,Aprovado
1,GBR-SO-017,0,0,19/7/2025,Aprovado
1,GBR-SO-018,0,0,5/11/2024,Aprovado
1,GBR-SO-019,0,0,6/11/2024,Aprovado
1,GBR-SO-020,0,0,23/3/2024,Aprovado
1,GBR-SO-021,0,0,9/11/2024,Aprovado
1,GBR-SO-022,0,0,6/11/2024,Aprovado
1,GBR-SO-023,0,0,07/01/2025,Aprovado
1,GBR-SO-024,0,0,06/01/2025,Aprovado
1,GBR-SO-025,0,0,6/11/2024,Aprovado
1,GBR-SO-026,0,0,23/03/2024,Aprovado
1,GBR-SO-027,0,0,23/03/2024,Aprovado
1,GBR-SO-028,0,0,03/07/2025,Aprovado
1,GBR-SO-029,0,0,22/05/2025,Aprovado
1,GBR-SO-030,0,0,23/03/2024,Aprovado
1,GBR-SO-033,0,0,23/03/2024,Aprovado
1,GBR-SO-034,0,0,22/2/2025,Aprovado
1,GBR-SO-035,0,0,16/1/2025,Aprovado
1,GBR-SO-036,0,0,26/12/2024,Aprovado
1,GBR-SO-037,0,0,03/07/2025,Aprovado
1,GBR-SO-038,0,0,22/03/2024,Aprovado
1,GBR-SO-039,0,0,23/03/2024,Aprovado
1,GBR-SO-041,0,0,03/07/2025,Aprovado
1,GBR-SO-042,0,0,23/03/2024,Aprovado
1,GBR-SO-043,0,0,22/02/2025,Aprovado
1,GBR-SO-044,0,0,28/01/2025,Aprovado
1,GBR-SO-045,0,0,11/02/2025,Aprovado
1,GBR-SO-046,0,0,07/01/2025,Aprovado
1,GBR-SO-047,0,0,07/02/2025,Aprovado
1,GBR-SO-048,0,0,13/11/2024,Aprovado
1,GBR-SO-049,0,0,13/11/2024,Aprovado
1,GBR-SO-050,0,0,22/01/2025,Aprovado
1,GBR-SO-052,0,0,12/2/2025,Aprovado
1,GBR-SO-053,0,0,12/11/2024,Aprovado
1,GBR-SO-054,0,0,09/01/2025,Aprovado
1,GBR-SO-055,0,0,5/1/2025,Aprovado
1,GBR-SO-056,0,0,17/12/2024,Aprovado
1,GBR-SO-057,0,0,14/11/2024,Aprovado
1,GBR-SO-058,0,0,27/1/2025,Aprovado
1,GBR-SO-059,0,0,12/11/2024,Aprovado
1,GBR-SO-060,0,0,16/1/2025,Aprovado
1,GBR-SO-061,0,0,27/12/2024,Aprovado
1,GBR-SO-062,0,0,13/02/2025,Aprovado
1,GBR-SO-063,0,0,21/01/2025,Aprovado
1,GBR-SO-064,0,0,15/01/2025,Aprovado
1,GBR-SO-065,0,0,20/1/2025,Aprovado
1,GBR-SO-066,0,0,27/12/2024,Aprovado
1,GBR-SO-067,0,0,17/12/2024,Aprovado
1,GBR-SO-068,0,0,28/01/2025,Aprovado
1,GBR-SO-069,0,0,14/01/2025,Aprovado
1,GBR-SO-070,0,0,06/02/2025,Aprovado
1,GBR-SO-071,0,0,11/02/2025,Aprovado
1,GBR-SO-072,0,0,03/02/2025,Aprovado
1,GBR-SO-073,0,0,08/01/2025,Aprovado
1,GBR-SO-074,0,0,12/2/2025,Aprovado
1,GBR-SO-075,0,0,13/11/2024,Aprovado
1,GBR-SO-076,0,0,17/12/2024,Aprovado
1,GBR-SO-077,0,0,03/07/2025,Aprovado
1,GBR-SO-078,0,0,23/05/2025,Aprovado
1,GBR-SO-079,0,0,03/07/2025,Aprovado
1,GBR-SO-080,0,0,03/07/2025,Aprovado
1,GBR-SO-081,0,0,22/02/2025,Aprovado
1,GBR-SO-082,0,0,17/02/2025,Aprovado
1,GBR-SO-083,0,0,22/02/2025,Aprovado
1,GBR-SO-084,0,0,22/02/2025,Aprovado
1,GBR-SO-085,0,0,12/02/2025,Aprovado
1,GBR-SO-086,0,0,17/02/2025,Aprovado
1,GBR-SO-087,0,0,22/02/2025,Aprovado
1,GBR-SO-088,0,0,05/03/2025,Aprovado
1,GBR-SO-089,0,0,21/03/2025,Aprovado
1,GBR-SO-090,0,0,22/3/2025,Aprovado
1,GBR-SO-091,0,0,21/10/2025,Aprovado
1,GBR-SO-092,0,0,10/10/2025,Aprovado
