instrumento,laboratorio,data_envio
MDS-CQ-001,CEMAG,21/11/2025
MDS-CQ-002,CEMAG,21/11/2025
MDS-CQ-021,CEMAG,21/11/2025
MDS-CQ-003,CEMAG,27/11/2025
MDS-CQ-004,CEMAG,27/11/2025
MDS-CQ-006,CEMAG,27/11/2025
MDS-CQ-007,CEMAG,27/11/2025
MDS-CQ-008,CEMAG,27/11/2025
MDS-CQ-009,CEMAG,27/11/2025
MDS-CQ-010,CEMAG,27/11/2025
MDS-CQ-011,CEMAG,27/11/2025
MDS-CQ-012,CEMAG,27/11/2025
MDS-CQ-013,CEMAG,27/11/2025
MDS-CQ-014,CEMAG,27/11/2025
MDS-CQ-015,CEMAG,27/11/2025
MDS-CQ-016,CEMAG,27/11/2025
MDS-CQ-017,CEMAG,27/11/2025
MDS-CQ-018,CEMAG,27/11/2025
MDS-CQ-020,CEMAG,27/11/2025
MDS-CQ-022,CEMAG,27/11/2025
MDS-CQ-023,CEMAG,27/11/2025
MDS-CQ-024,CEMAG,27/11/2025
MDS-CQ-026,CEMAG,27/11/2025
MDS-CQ-027,CEMAG,27/11/2025
MDS-CQ-029,CEMAG,27/11/2025
MDS-CQ-030,CEMAG,27/11/2025
MDS-CQ-031,CEMAG,27/11/2025
MDS-CQ-032,CEMAG,27/11/2025
MDS-CQ-033,CEMAG,21/11/2025
MDS-AL-016,CEMAG,27/11/2025
MDS-AL-017,CEMAG,27/11/2025
MDS-AL-018,CEMAG,27/11/2025
MDS-AL-019,CEMAG,27/11/2025
MDS-AL-020,CEMAG,27/11/2025
MDS-AL-021,CEMAG,27/11/2025
MDS-AL-022,CEMAG,27/11/2025
MDS-AL-023,CEMAG,27/11/2025
MDS-AL-024,CEMAG,27/11/2025
MDS-AL-025,CEMAG,27/11/2025
MDS-AL-026,CEMAG,27/11/2025
MDS-AL-027,CEMAG,27/11/2025
MDS-AL-028,CEMAG,27/11/2025
MDS-AL-029,CEMAG,21/11/2025
MDS-AL-030,CEMAG,02/06/2025
MDS-AL-031,CEMAG,27/11/2025
MDS-AL-032,CEMAG,27/11/2025
MDS-CQ-005,CEMAG,21/11/2025
MDS-AL-010,CEMAG,21/11/2025
