codigo,tipo,instrumento_controlado
ESQ-CQ-010,Esquadro,TRUE
AAD-CQ-001,Alicate Amperimetro digital,TRUE
BAL-CQ-001,Balança,TRUE
BAL-CQ-002,Balança,TRUE
BAL-CQ-003,Balança,TRUE
CFD-CQ-002,Copo Ford N° 4,TRUE
DUR-CQ-001,Durômetro,TRUE
ESM-CQ-001,Esquadro,TRUE
ESM-CQ-002,Esquadro,TRUE
ESQ-CQ-002,Esquadro,TRUE
ESQ-CQ-003,Esquadro,TRUE
ESQ-CQ-004,Esquadro,TRUE
ESQ-CQ-006,Esquadro,TRUE
ESQ-CQ-011,Esquadro,TRUE
ESQ-CQ-012,Esquadro,TRUE
ESQ-CQ-015,Esquadro,TRUE
ESQ-CQ-019,Esquadro,TRUE
ESQ-CQ-020,Esquadro,TRUE
ESQ-CQ-021,Esquadro,TRUE
ESQ-CQ-024,Esquadro,TRUE
ESQ-CQ-025,Esquadro,TRUE
ESQ-CQ-026,Esquadro,TRUE
ESQ-CQ-027,Esquadro,TRUE
ESQ-CQ-029,Esquadro,TRUE
ESQ-CQ-030,Esquadro,TRUE
ESQ-CQ-031,Esquadro,TRUE
ESQ-CQ-032,Esquadro,TRUE
ESQ-CQ-033,Esquadro,TRUE
ESQ-CQ-035,Esquadro,TRUE
FLU-CQ-025,Fluxômetro Bibimetro,TRUE
FLU-CQ-026,Fluxômetro Bibimetro,TRUE
FLU-CQ-027,Fluxômetro Bibimetro,TRUE
FLU-CQ-030,Fluxômetro Bibimetro,TRUE
FLU-CQ-031,Fluxômetro Bibimetro,TRUE
FLU-CQ-033,Fluxômetro Bibimetro,TRUE
FLU-CQ-034,Fluxômetro Bibimetro,TRUE
FLU-CQ-036,Fluxômetro Bibimetro,TRUE
FLU-CQ-039,Fluxômetro Bibimetro,TRUE
FLU-CQ-040,Fluxômetro Bibimetro,TRUE
FLU-CQ-041,Fluxômetro Bibimetro,TRUE
FLU-CQ-042,Fluxômetro Bibimetro,TRUE
FLU-CQ-044,Fluxômetro Bibimetro,TRUE
FLU-CQ-045,Fluxômetro Bibimetro,TRUE
FLU-CQ-046,Fluxômetro Bibimetro,TRUE
FLU-CQ-048,Fluxômetro Bibimetro,TRUE
FLU-CQ-050,Fluxômetro Bibimetro,TRUE
FLU-CQ-055,Fluxômetro Bibimetro,TRUE
GON-CQ-004,Gôniometro,TRUE
GON-CQ-005,Gôniometro,TRUE
GON-CQ-006,Gôniometro,TRUE
LPG-CQ-002,Lupa Graduada,TRUE
MAN-PI-009,Manômetro,TRUE
MAN-PI-011,Manômetro,TRUE
MAN-PI-012,Manômetro,TRUE
MAN-PI-014,Manômetro,TRUE
