codigo,tipo,instrumento_controlado,finalidade,periodicidade
MDS-CQ-001,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-002,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-021,Máquina de solda analógica,TRUE,maquina de solda,90
MDS-CQ-003,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-004,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-006,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-007,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-008,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-009,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-010,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-011,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-012,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-013,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-014,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-015,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-016,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-017,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-018,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-020,Máquina de solda analógica,TRUE,maquina de solda,90
MDS-CQ-022,Máquina de solda analógica,TRUE,maquina de solda,90
MDS-CQ-023,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-024,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-026,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-027,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-029,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-030,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-031,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-032,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-033,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-016,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-017,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-018,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-019,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-020,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-021,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-022,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-023,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-024,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-025,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-026,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-027,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-028,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-029,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-030,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-031,Máquina de solda digital,TRUE,maquina de solda,90
MDS-AL-032,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-017,Máquina de solda digital,TRUE,maquina de solda,365
MDS-CQ-025,Máquina de solda digital,TRUE,maquina de solda,365
MDS-CQ-024,Máquina de solda digital,TRUE,maquina de solda,365
MDS-CQ-005,Máquina de solda digital,TRUE,maquina de solda,90
MDS-CQ-035,Máquina de solda analógica,TRUE,maquina de solda,365
MDS-CQ-034,Máquina de solda analógica,TRUE,maquina de solda,365
MDS-CQ-036,Máquina de solda laser,TRUE,maquina de solda,365
MDS-CQ-037,Máquina de solda laser,TRUE,maquina de solda,365
MDS-AL-010,Máquina de solda analógica,TRUE,maquina de solda,90
