sequencia,codigo,descricao,nominal_min,nominal_max,unidade,periodicidade,tolerancia_min,tolerancia_max
1,ESQ-CQ-010,,0,90,°,365,2,2
1,AAD-CQ-001,Tensão Contínua,0,600,V,365,"7,8","7,8"
2,AAD-CQ-001,Tensão Alternada,0,600,V,365,"7,8","7,8"
3,AAD-CQ-001,Corrente Contínua,0,1000,A,365,22,22
4,AAD-CQ-001,Corrente Alternada,0,1000,A,365,22,22
5,AAD-CQ-001,Resistência 1000 Ohms,0,1000,Ohms,365,105,105
6,AAD-CQ-001,Resistência 10000 Ohms,0,10000,Ohms,365,105,105
1,BAL-CQ-001,WT1000,0,50000,Kg,365,10,10
1,BAL-CQ-002,DIGI-TRON ULD20000,0,20000,Kg,365,5,5
1,BAL-CQ-003,TOLEDO BST,0,5000,Kg,365,2,2
1,CFD-CQ-002,,0,0,m²/s,365,1,1
1,DUR-CQ-001,,0,100,HRC,365,2,2
1,ESM-CQ-001,,0,0,°,365,"0,5","0,5"
1,ESM-CQ-002,,0,0,°,365,"0,5","0,5"
1,ESQ-CQ-002,,0,90,°,365,2,2
1,ESQ-CQ-003,,0,90,°,365,2,2
1,ESQ-CQ-004,,0,90,°,365,2,2
1,ESQ-CQ-006,,0,90,°,365,2,2
1,ESQ-CQ-011,,0,90,°,365,2,2
1,ESQ-CQ-012,,0,90,°,365,2,2
1,ESQ-CQ-015,,0,90,°,365,2,2
1,ESQ-CQ-019,,0,90,°,365,2,2
1,ESQ-CQ-020,,0,90,°,365,2,2
1,ESQ-CQ-021,,0,90,°,365,2,2
1,ESQ-CQ-024,,0,90,°,365,2,2
1,ESQ-CQ-025,,0,90,°,365,2,2
1,ESQ-CQ-026,,0,90,°,365,2,2
1,ESQ-CQ-027,,0,90,°,365,2,2
1,ESQ-CQ-029,,0,90,°,365,2,2
1,ESQ-CQ-030,,0,90,°,365,2,2
1,ESQ-CQ-031,,0,90,°,365,2,2
1,ESQ-CQ-032,,0,90,°,365,2,2
1,ESQ-CQ-033,,0,90,°,365,2,2
1,ESQ-CQ-035,,0,90,°,365,2,2
1,FLU-CQ-025,,0,25,L/min,365,2,2
1,FLU-CQ-026,,0,25,L/min,365,2,2
1,FLU-CQ-027,,0,25,L/min,365,2,2
1,FLU-CQ-030,,0,25,L/min,365,2,2
1,FLU-CQ-031,,0,25,L/min,365,2,2
1,FLU-CQ-033,,0,25,L/min,365,2,2
1,FLU-CQ-034,,0,25,L/min,365,2,2
1,FLU-CQ-036,,0,25,L/min,365,2,2
1,FLU-CQ-039,,0,25,L/min,365,2,2
1,FLU-CQ-040,,0,25,L/min,365,2,2
1,FLU-CQ-041,,0,25,L/min,365,2,2
1,FLU-CQ-042,,0,25,L/min,365,2,2
1,FLU-CQ-044,,0,25,L/min,365,2,2
1,FLU-CQ-045,,0,25,L/min,365,2,2
1,FLU-CQ-046,,0,25,L/min,365,2,2
1,FLU-CQ-048,,0,25,L/min,365,2,2
1,FLU-CQ-050,,0,25,L/min,365,2,2
1,FLU-CQ-055,,0,25,L/min,365,2,2
1,GON-CQ-004,,0,180,°,365,"0,5","0,5"
2,GON-CQ-004,,0,300,mm,365,"0,5","0,5"
3,GON-CQ-004,,0,300,mm,365,"0,5","0,5"
1,GON-CQ-005,,0,180,°,365,"0,5","0,5"
2,GON-CQ-005,,0,300,mm,365,"0,5","0,5"
3,GON-CQ-005,,0,300,mm,365,"0,5","0,5"
1,GON-CQ-006,,0,180,°,365,"0,5","0,5"
1,LPG-CQ-002,,0,10,mm,365,"0,2","0,2"
1,MAN-PI-009,Filtro Fosfatizante Erzinger,0,4,bar,365,"0,3","0,3"
1,MAN-PI-011,,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-012,,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-014,,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-015,,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-016,,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-017,,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-018,,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-019,,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-020,,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-021,,0,10,kgf/cm²,365,"0,3","0,3"
1,MAN-PI-022,,0,1,Bar,365,"0,3","0,3"
1,MAN-PI-023,,0,300,Bar,365,9,9
1,MAN-PI-025,cabine deltec,0,10,kgf/cm²,365,"0,3","0,3"
1,MAN-PI-026,cabine manual,0,10,kgf/cm²,365,"0,3","0,3"
1,MAN-PI-027,cabine deltec,0,10,kgf/cm²,365,"0,3","0,3"
1,MAN-PI-028,cabine deltec,0,10,kgf/cm²,365,"0,3","0,3"
1,MAN-PI-029,cabine manual,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-030,temac,0,10,Bar,365,"0,3","0,3"
1,MAN-PI-031,cabine manual,0,10,kgf/cm²,365,"0,3","0,3"
1,MIC-CQ-001,,25,50,μm,365,"0,01","0,01"
1,MIC-CQ-002,,50,75,μm,365,"0,01","0,01"
1,NIV-CQ-001,,0,0,outro,365,1,1
1,NIV-CQ-003,,0,0,outro,365,"0,5","0,5"
1,NIV-CQ-004,,0,0,outro,365,"0,5","0,5"
1,NIV-CQ-006,,0,0,outro,365,"0,5","0,5"
1,NIV-CQ-007,,0,0,outro,365,"0,5","0,5"
1,NIV-CQ-008,,0,0,outro,365,"0,5","0,5"
1,NIV-CQ-009,,0,0,outro,365,1,1
1,NIV-CQ-010,,0,0,outro,365,1,1
1,NIV-CQ-015,,0,0,outro,365,1,1
1,NIV-CQ-016,,0,0,outro,365,1,1
1,NIV-CQ-017,,0,0,outro,365,1,1
1,NIV-CQ-021,,0,0,outro,365,1,1
1,NIV-CQ-022,,0,0,outro,365,1,1
1,NIV-CQ-023,,0,0,outro,365,,
1,NIV-CQ-024,,0,0,outro,365,,
1,PAQ-CE-001,,0,150,mm,365,"0,5","0,5"
1,PAQ-CE-002,,0,150,mm,365,"0,5","0,5"
1,PAQ-CE-003,,0,200,mm,365,"0,5","0,5"
1,PAQ-CQ-002,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-003,,0,200,mm,365,"0,5","0,5"
1,PAQ-CQ-004,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-006,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-010,,0,300,mm,365,"0,5","0,5"
1,PAQ-CQ-011,,0,200,mm,365,"0,5","0,5"
1,PAQ-CQ-012,,0,200,mm,365,"0,5","0,5"
1,PAQ-CQ-013,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-064,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-065,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-066,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-069,,0,300,mm,365,"0,5","0,5"
1,PAQ-CQ-070,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-080,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-073,,0,300,mm,365,"0,5","0,5"
1,PAQ-CQ-076,,0,500,mm,365,"0,5","0,5"
1,PAQ-CQ-077,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-079,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-081,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-083,,0,150,mm,365,"0,5","0,5"
1,PAQ-CQ-084,,0,200,mm,365,"0,5","0,5"
1,PAQ-CQ-085,,0,200,mm,365,"0,5","0,5"
1,PAQ-CQ-086,,0,200,mm,365,"0,5","0,5"
1,PAQ-CQ-087,,0,200,mm,365,"0,5","0,5"
1,PAQ-CQ-088,,0,200,mm,365,"0,5","0,5"
1,PAQ-MA-002,,0,150,mm,365,"0,5","0,5"
1,PAQ-US-004,,0,200,mm,365,"0,5","0,5"
1,PAQ-US-005,,0,200,mm,365,"0,5","0,5"
1,PRE-PI-001,Tanque desengraxante,0,"2,5",Bar,365,"0,075","0,075"
1,PRE-PI-002,Tanque enxague 1,0,"2,5",Bar,365,"0,075","0,075"
1,PRE-PI-003,Tanque enxague 2,0,"2,5",Bar,365,"0,075","0,075"
1,PRE-PI-004,Tanque fosfatizante,0,"2,5",Bar,365,"0,075","0,075"
1,PRE-PI-005,Tanque enxague 3,0,"2,5",Bar,365,"0,075","0,075"
1,RLC-CQ-001,,0,0,outro,365,"0,02","0,02"
1,TER-FO-001,Forno forja,0,1200,°,365,12,12
1,TER-PI-002,Erzinger - Cabine secagem,100,120,°C,365,"1,2","1,2"
1,TER-PI-003,Erzinger - Cabine cura,180,220,°C,365,"2,2","2,2"
1,TER-PI-004,Erzinger - Cabine cura,180,220,°C,365,"2,2","2,2"
1,TER-PI-005,Forno chumbo,0,1200,°C,365,12,12
1,TER-PI-006,Forno Forja DJ,0,1200,°C,365,12,12
1,TER-PI-007,Cabine Deltec - lavagem,60,90,°C,365,1,1
1,TER-PI-008,Cabine Deltec - cura,60,90,°C,365,1,1
